STOCK_EVENT_TIME,PART_NO,CATEGORY,PUT_ON_SERIAL,REPLACE_SERIAL,EQP_NO,CHAMBER_NO,LAYER,PUT_ON_STATUS,REPLACE_STATUS,KIND,FAB,QTY
2015/11/6 17:06,85-ECT0010,GE,55197MM-02011,54269MM-02011,EHT01,PM1,LCD 1C,新品,備品,TS,P1,1
2015/11/6 17:41,85-EKA0270,GE,NULL,MII-219-0108,EHA06,eMaxB,F68 CT PI,備品,廠外清洗,PM,P1,1
2015/11/7 00:36,85-ECT0010,GE,55B66MM-02011,54414MM-02011,ECT18,PM2,C4F8 1T,備品,備品,PM,P1,1
2015/11/7 03:12,85-ECT0010,GE,55GB3MMM-02011,54415MM-020Z1,EHT09,PM2,DK40 7F,新品,待報廢,TS,P1,1
2015/11/7 05:09,85-ECT0010,GE,55197MM-02011,55197MM-02011,EHT01,PM1,LCD 1C,clean,廠內清洗,TS,P1,1
2015/11/7 06:55,85-ECT0010,GE,53389MM-02011,55C79MM-02011,ECT18,PM1,C4F8 1T,備品,備品,TS,P1,1
2015/11/7 14:17,85-EKA0190,GE,NULL,NULL,EKA01,eMaxC,1F,備品,廠外清洗,PM,P1,5
2015/11/7 14:17,85-EKA0270,GE,NULL,NULL,EKA01,eMaxC,1F,備品,廠外清洗,PM,P1,1
2015/11/7 17:19,85-ECT0010,GE,55197MM-02011,55197MM-02011,EHT01,PM1,LCD 1C,clean,廠內清洗,TS,P1,1
2015/11/7 18:35,85-EKA0270,GE,NULL,NULL,EHA01,eMaxC,F68 Normal PI,備品,廠外清洗,PM,P1,1
2015/11/7 18:35,85-EKA0190,GE,NULL,NULL,EHA01,eMaxC,F68 Normal PI,備品,廠外清洗,PM,P1,4
2015/11/7 22:47,85-EKA0190,GE,NULL,NULL,EKA01,eMaxA,1F,備品,廠外清洗,PM,P1,5
2015/11/7 22:47,85-EKA0270,GE,NULL,NONE3,EKA01,eMaxA,1F,備品,廠外清洗,PM,P1,1
2015/11/8 04:35,85-ECT0010,GE,53389MM-02011,53389MM-02011,ECT18,PM1,C4F8 1T,clean,廠內清洗,TS,P1,1
2015/11/8 05:04,85-ECT0010,GE,55197MM-02011,55197MM-02011,EHT01,PM1,LCD 1C,clean,廠內清洗,TS,P1,1
2015/11/8 10:03,85-ECT0010,GE,54GF7MM-02011,54GF7MM-02011,ECT66,PM1,F63 2B SAC,clean,廠內清洗,PM,P2,1
2015/11/8 20:15,85-ECT0010,GE,54593MM-02011,54593MM-02011,ECT13,PM1,1C,clean,廠內清洗,PM,P1,1
2015/11/8 20:16,85-ECT0010,GE,54BE2MM-02011,53530MM-02011,EHT03,PM2,1C,備品,待報廢,PM,P1,1
2015/11/9 02:58,85-ECT0010,GE,55194MM-02011,55194MM-02011,ECT69,PM3,F68 1C,clean,廠內清洗,PM,P2,1
2015/11/9 12:05,85-EKA0270,GE,MII-044-0152,MII-214-0200,EHA03,eMaxB,F68 CT PI,備品,廠外清洗,PM,P1,1
2015/11/9 19:46,85-EKA0270,GE,NULL,NULL,EHA04,eMaxC,CT_1F,備品,廠外清洗,PM,P1,1
2015/11/9 23:21,85-ECT0010,GE,55B66MM-02011,55B66MM-02011,ECT18,PM2,C4F8 1T,clean,廠內清洗,TS,P1,1
2015/11/9 23:28,85-EKA0270,GE,MII-214-0198,MII-294-0266,EHA02,eMaxB,DK_PI,備品,廠外清洗,PM,P1,1
2015/11/10 01:21,85-ECT0010,GE,54B56MM-02011,54B56MM-02011,ECT17,PM2,LCD 1C,clean,廠內清洗,PM,P1,1
2015/11/10 01:30,85-ECT0010,GE,53388MM-02011,53388MM-02011,ECT69,PM1,F68 1C,clean,廠內清洗,PM,P2,1
2015/11/10 06:35,85-EKA0270,GE,NULL,NONE3,EKA01,eMaxB,1F,備品,廠外清洗,PM,P1,1
